split,prob_bucket,n,mean_pred,mean_actual
test,10-20%,22,0.1801649192514954,0.045454545454545456
test,20-30%,115,0.25194372538372795,0.22608695652173913
test,30-40%,138,0.3548490714336951,0.3188405797101449
test,40-50%,195,0.44704152759374816,0.4307692307692308
test,50-60%,215,0.5545341965159732,0.5767441860465117
test,60-70%,211,0.6467823487155545,0.6540284360189573
test,70-80%,201,0.7461569786043372,0.7512437810945274
test,80-90%,132,0.8389403730933187,0.8560606060606061
test,90-100%,1,0.9070346540012744,1.0
train,10-20%,106,0.17694130810683795,0.09433962264150944
train,20-30%,456,0.2549050142389366,0.23903508771929824
train,30-40%,679,0.35287072485949833,0.33431516936671574
train,40-50%,984,0.4543262164900278,0.46239837398373984
train,50-60%,1317,0.5512937492250669,0.5231586940015186
train,60-70%,1158,0.6476447960879771,0.6761658031088082
train,70-80%,862,0.7469961738020142,0.7668213457076566
train,80-90%,435,0.8326089326789426,0.8505747126436781
train,90-100%,3,0.9041785024676012,1.0
