GAME_DATE,SEASON_ID,team,elo_before,is_home,season_label
2020-12-23,22020,ATL,1500.0,0,2020-21
2020-12-26,22020,ATL,1519.501498055486,0,2020-21
2020-12-28,22020,ATL,1530.522559427607,1,2020-21
2020-12-30,22020,ATL,1536.5723007733834,0,2020-21
2021-01-01,22020,ATL,1531.1125749826938,0,2020-21
2021-01-02,22020,ATL,1549.206535200039,1,2020-21
2021-01-04,22020,ATL,1539.632921775258,1,2020-21
2021-01-06,22020,ATL,1530.0189898378808,1,2020-21
2021-01-09,22020,ATL,1517.2535622314815,0,2020-21
2021-01-11,22020,ATL,1509.2673244340958,1,2020-21
2021-01-15,22020,ATL,1523.082988168443,0,2020-21
2021-01-16,22020,ATL,1509.1982729786632,0,2020-21
2021-01-18,22020,ATL,1502.6657432464474,1,2020-21
2021-01-20,22020,ATL,1509.0218542173054,1,2020-21
2021-01-22,22020,ATL,1514.953584241272,0,2020-21
2021-01-24,22020,ATL,1527.267573430684,0,2020-21
2021-01-26,22020,ATL,1517.988079867991,1,2020-21
2021-01-27,22020,ATL,1528.0164591758405,1,2020-21
2021-01-29,22020,ATL,1520.464251920894,0,2020-21
2021-02-01,22020,ATL,1533.323385616418,1,2020-21
2021-02-03,22020,ATL,1524.636595348527,1,2020-21
2021-02-04,22020,ATL,1513.649514443007,1,2020-21
2021-02-06,22020,ATL,1499.2019634247854,1,2020-21
2021-02-10,22020,ATL,1508.9572517006927,0,2020-21
2021-02-12,22020,ATL,1504.9606430186,1,2020-21
2021-02-13,22020,ATL,1490.8120687155606,1,2020-21
2021-02-15,22020,ATL,1477.8783359546885,0,2020-21
2021-02-17,22020,ATL,1469.8657355586097,0,2020-21
2021-02-19,22020,ATL,1482.0981329412432,0,2020-21
2021-02-21,22020,ATL,1473.071663505402,1,2020-21
2021-02-23,22020,ATL,1483.3795491872277,0,2020-21
2021-02-24,22020,ATL,1478.119663964615,1,2020-21
2021-02-26,22020,ATL,1489.972785723604,0,2020-21
2021-02-28,22020,ATL,1479.9071481671754,0,2020-21
2021-03-02,22020,ATL,1472.1947733013703,0,2020-21
2021-03-03,22020,ATL,1489.5831163731602,0,2020-21
2021-03-11,22020,ATL,1494.2403894712136,0,2020-21
